Ticker,Value,Momentum,Quality,Low Vol,Zscore Value,Fractile Value,Zscore Momentum,Fractile Momentum,Zscore Quality,Fractile Quality,Zscore Low Vol,Fractile Low Vol,Weight
GIS,3.592551,-0.0287885197142078,0.24168,0.188853593100114,-0.23779081247491904,2,-0.5713529455488727,1,-0.02868596500495256,3,-0.8327827109724728,1,-0.008695652173913044
GPC,3.471527,-0.1533172749698478,0.24416,0.3175814530013957,-0.2435179298124911,2,-0.8833278603831562,1,-0.02308149467534016,3,0.41365360092772036,3,-0.008695652173913044
HAL,2.3705976,-0.2327332681626446,0.26293,0.2749400791851751,-0.29561628926336686,2,-1.0822842994958868,1,0.019336210198379798,3,0.0007689561071918915,3,-0.008695652173913044
PODD,17.588934,0.4111340851028304,0.48786,0.3642322214591023,0.42454829169118496,4,0.530760513223982,4,0.5276481098918175,4,0.8653601066392685,4,0.008695652173913044
HSY,7.252298,-0.1807964982931966,0.43405998,0.248289220663894,-0.06460367195050024,3,-0.9521700192758169,1,0.40606721641498056,4,-0.25728394580319486,2,-0.008695652173913044
SYF,1.8628019,0.8775728208307703,0.21279,0.3481684116365868,-0.31964627965712783,1,1.6993033494179894,4,-0.09397352461080066,3,0.709818673063063,4,0.008695652173913044
MDLZ,2.756601,-0.2083543310788828,0.13552,0.1774293042900072,-0.2773497738242659,2,-1.0212091140510173,1,-0.26859345298545917,2,-0.9434009440532698,1,-0.008695652173913044
HUM,2.019743,-0.1615214979166652,0.078379996,0.3930076738609828,-0.31221948749369227,2,-0.9038814405571532,1,-0.3977222663128527,1,1.1439848642679968,4,-0.008695652173913044
CDW,11.063674,-0.1381519036889786,0.53360003,0.276307257038174,0.11575888068043233,4,-0.8453349052294095,1,0.6310144973960848,4,0.014006961633815231,3,-0.008695652173913044
TT,11.891427,0.6028235234972195,0.35146,0.2350962577408782,0.15492994226761558,4,1.0109893253963633,4,0.21940224176313347,4,-0.3850277617992851,2,0.008695652173913044
IPG,2.8534296,-0.0957779751012289,0.21792999,0.222220086097952,-0.27276763512588514,2,-0.7391778755922045,1,-0.08235783047793593,3,-0.5097041753302071,2,-0.008695652173913044
GNRC,3.887448,0.3732553516569243,0.123780005,0.3435392618777853,-0.22383564885862822,3,0.4358650441689994,4,-0.2951242810690472,2,0.6649958945517209,4,0.008695652173913044
K,7.731609,0.5496621633330676,0.26036,0.2455089945815096,-0.041921639145527725,4,0.8778071477086536,4,0.013528351832612034,3,-0.2842041070412784,2,0.008695652173913044
ORCL,58.119663,0.6137645455322731,1.55578,0.3408209819289999,2.3425500166410624,4,1.0383992550192749,4,2.9410053495691213,4,0.6386755406153268,4,0.008695652173913044
LEN,1.3096912,-0.0739984977893848,0.15878001,0.3091701478323571,-0.3458206738232983,1,-0.6846149711003918,1,-0.21602892237598798,2,0.33220925623649694,3,-0.008695652173913044
